User_ID,User_Text,Sentiment_Label,Recommended_Song_ID,Song_Name,Artist,Genre,Tempo (BPM),Mood,Energy,Danceability
U124,Respond story career leg back result.,Relaxed,S124,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U125,Like go think others allow television present among.,Relaxed,S125,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U126,Attorney later meet.,Relaxed,S126,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U127,Power green use election.,Motivated,S127,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U128,Story artist several important.,Motivated,S128,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U129,Mind very case under range machine.,Relaxed,S129,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U130,First according interesting.,Relaxed,S130,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U131,According go direction wish.,Motivated,S131,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U132,Yes bar team size.,Happy,S132,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U133,Space cup over exactly.,Happy,S133,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U134,Expert let growth hope heart service move.,Sad,S134,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U135,Religious continue attack billion.,Motivated,S135,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U136,Stay admit design someone return data eye.,Motivated,S136,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U137,Here write world hear officer serious.,Happy,S137,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U138,Behavior look politics trip.,Happy,S138,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U139,Far me goal area more bad.,Sad,S139,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U140,Old yeah speak interview clearly.,Happy,S140,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U141,Own use listen.,Happy,S141,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U142,For really employee.,Happy,S142,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U143,Road will no most whether.,Sad,S143,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U144,Quite prepare keep environment speech run.,Sad,S144,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U145,Cut south serious sure dream detail within.,Motivated,S145,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U146,Worry movie your risk reach.,Motivated,S146,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U147,Yet believe control.,Relaxed,S147,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U148,Out short reduce ahead.,Motivated,S148,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U149,Federal natural rule senior knowledge myself.,Sad,S149,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U150,Of wait opportunity yeah send.,Motivated,S150,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U151,Them arrive population later land apply.,Relaxed,S151,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U152,Yes garden local spring.,Relaxed,S152,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U153,Republican poor same lead cause.,Happy,S153,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U154,Thank those eight physical attack stage old.,Happy,S154,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U155,Individual financial interesting ball.,Motivated,S155,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U156,Sure trade throughout employee member.,Sad,S156,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U157,Chair rise new state term rate.,Relaxed,S157,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U158,Weight feel produce.,Happy,S158,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U159,West no how.,Motivated,S159,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U160,Option speech no Mr.,Happy,S160,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U161,Democrat crime imagine appear black field southern will.,Relaxed,S161,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U162,Effect sit cultural walk second discussion design behind.,Motivated,S162,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U163,Politics career just them.,Happy,S163,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U164,Yes behind down if before.,Relaxed,S164,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U165,Wrong represent father civil return benefit.,Sad,S165,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U166,In book society its win.,Sad,S166,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U167,Me the purpose yes other despite network.,Motivated,S167,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U168,Road always central long change drug.,Sad,S168,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U169,Lay arrive little matter course quite.,Happy,S169,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U170,Attention often news leader.,Motivated,S170,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U171,Series summer Congress mouth onto.,Motivated,S171,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U172,Today large letter such.,Happy,S172,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U173,Want sing site evening political health.,Motivated,S173,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U174,Child seek collection structure everything.,Happy,S174,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U175,Skill mean know beat design attention likely.,Happy,S175,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U176,Possible church father medical future nor.,Relaxed,S176,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U177,Great manager current star.,Motivated,S177,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U178,Happen build forward wait real.,Sad,S178,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U179,Consider value leave sister think.,Happy,S179,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U180,Kitchen left hot small woman evidence its over.,Motivated,S180,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U181,Media suggest write off itself ability.,Motivated,S181,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U182,Understand teacher ask most trial high miss what.,Sad,S182,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U183,Make avoid myself room.,Happy,S183,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U184,Close hard oil consumer discuss someone.,Relaxed,S184,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U185,Number fall future others.,Relaxed,S185,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U186,Cultural others reality test.,Relaxed,S186,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U187,Enter scene help total rest peace.,Happy,S187,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U188,Whatever would can admit technology college.,Happy,S188,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U189,None country crime get couple claim body however.,Happy,S189,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U190,Medical fall senior half above.,Relaxed,S190,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U191,Public want sport successful trade debate watch interview.,Sad,S191,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U192,Machine source artist.,Happy,S192,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U193,Game police your accept drug company before.,Motivated,S193,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U194,Time early movie.,Motivated,S194,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U195,Cell join girl seek no center movie.,Sad,S195,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U196,Need tax these health defense billion remember.,Sad,S196,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U197,Several allow their fight.,Happy,S197,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U198,Dog water town dog own add accept.,Happy,S198,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U199,Kid newspaper he risk everything idea born.,Sad,S199,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U200,Their yard seem civil worker term case.,Sad,S200,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U201,Something condition government military policy rather.,Sad,S201,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U202,Situation card recognize onto improve cultural.,Happy,S202,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U203,Doctor guy condition he.,Happy,S203,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U204,Should response mother themselves born yeah.,Motivated,S204,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U205,Wait history sort them low price minute.,Happy,S205,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U206,Person meet down something.,Sad,S206,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U207,Investment challenge often year phone scientist away name.,Sad,S207,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U208,Trade across husband other adult yeah three.,Sad,S208,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U209,Organization product father over wrong international.,Motivated,S209,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U210,Question difference small.,Motivated,S210,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U211,Street commercial style certainly travel professor oil many.,Happy,S211,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U212,Not mouth early heavy.,Relaxed,S212,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U213,Common street head though tax.,Relaxed,S213,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U214,Create contain age participant least store.,Sad,S214,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U215,Ahead reflect vote though name health question.,Sad,S215,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U216,Middle effort exactly seat analysis mission bring.,Motivated,S216,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U217,Concern course around recognize such let.,Happy,S217,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U218,Child myself begin enjoy know husband.,Motivated,S218,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U219,To attack foreign.,Motivated,S219,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U220,Up skill executive ahead could magazine.,Happy,S220,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U221,Fly usually pass into.,Relaxed,S221,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U222,Fight sound theory movement tree fund spend.,Motivated,S222,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U223,Smile change recent beautiful war couple.,Happy,S223,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U224,Occur challenge he ground.,Relaxed,S224,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U225,Include standard tough too remain per wear Mr.,Motivated,S225,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U226,Source relate article design trip.,Motivated,S226,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U227,Us maybe air week with wait.,Relaxed,S227,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U228,Their know range cold theory name see.,Motivated,S228,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U229,Else employee avoid to own believe check.,Happy,S229,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U230,Require under personal reveal after I expect.,Happy,S230,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U231,Bad think drive billion close run network issue.,Happy,S231,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U232,Community finish add likely section region save.,Motivated,S232,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U233,From ask let movie kid TV.,Relaxed,S233,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U234,Card thing my pay.,Sad,S234,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U235,Appear majority worker administration.,Happy,S235,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U236,Turn appear you husband.,Happy,S236,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U237,Size out thing might.,Happy,S237,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U238,Same action list source back street.,Happy,S238,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U239,Their region after sell after resource fund recognize.,Sad,S239,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U240,Offer middle I room rock sea morning reflect.,Motivated,S240,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U241,Should see read population speak.,Motivated,S241,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U242,Can effort seven follow show similar sing.,Sad,S242,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U243,Candidate account fine hit break instead whole.,Sad,S243,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U244,Tough or education bag her.,Relaxed,S244,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
U245,Even anyone turn season.,Happy,S245,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U246,Themselves in administration.,Sad,S246,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U247,Tree city usually itself.,Relaxed,S247,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U248,Between son easy produce.,Relaxed,S248,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U249,Throw near trade shake example.,Motivated,S249,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U250,Successful machine leader.,Relaxed,S250,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U251,Talk join clear both similar agree.,Sad,S251,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
U252,Least require fall benefit window miss phone.,Happy,S252,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U253,Other discuss per relate quickly feel eat section.,Relaxed,S253,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U254,Attack but build two summer rest.,Sad,S254,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U255,Identify fine cost long current anything.,Motivated,S255,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U256,Between four agreement she.,Motivated,S256,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
U257,Success can decision drive.,Relaxed,S257,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
U258,Show degree air someone force.,Motivated,S258,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U259,Choose west behavior form.,Sad,S259,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
U260,Always there attorney add.,Happy,S260,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U261,Inside personal class huge live in really.,Motivated,S261,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
U262,Tonight half heart value.,Happy,S262,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
U263,Eye capital hear wide simply good.,Happy,S263,Happy,Pharrell Williams,Pop,160,Joyful,High,High
U264,Network leg song former vote energy just.,Sad,S264,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
